N,N1overd,Method,Kt,AsmSolve_s,Eval_s,Sparsity,Cond
608,24.6576560118759,PLS,NaN,0.002074,0.0691503,NaN,NaN
608,24.6576560118759,Diag,NaN,0.0025628,0.0670935,NaN,NaN
608,24.6576560118759,FS,10000,0.0116295,0.0683365,0.968062889542936,NaN
608,24.6576560118759,FS,100000000,0.0608599,0.111034,0.282207626385042,NaN
608,24.6576560118759,FS,1000000000000,0.0893759,0.1275873,0,NaN
608,24.6576560118759,FC,10000,0.023967,0.0788766,0.752997316481995,NaN
608,24.6576560118759,FC,100000000,0.0772886,0.1292647,0,NaN
608,24.6576560118759,FC,1000000000000,0.0750121,0.1210096,0,NaN
870,29.4957624075053,PLS,NaN,0.0046027,0.0946107,NaN,NaN
870,29.4957624075053,Diag,NaN,0.0049148,0.0953497,NaN,NaN
870,29.4957624075053,FS,10000,0.0210705,0.0983517,0.968304927995772,NaN
870,29.4957624075053,FS,100000000,0.1248012,0.1858669,0.280073985995508,NaN
870,29.4957624075053,FS,1000000000000,0.165781,0.2170904,0,NaN
870,29.4957624075053,FC,10000,0.0451927,0.1157738,0.821437442198441,NaN
870,29.4957624075053,FC,100000000,0.1638462,0.2202363,0,NaN
870,29.4957624075053,FC,1000000000000,0.1599677,0.2138344,0,NaN
1498,38.7040049607273,PLS,NaN,0.0141056,0.1650754,NaN,NaN
1498,38.7040049607273,Diag,NaN,0.0138946,0.1698305,NaN,NaN
1498,38.7040049607273,FS,10000,0.0601047,0.1701626,0.968951035737904,NaN
1498,38.7040049607273,FS,100000000,0.341255,0.432916,0.274393450279055,NaN
1498,38.7040049607273,FS,1000000000000,0.4520449,0.5376027,0,NaN
1498,38.7040049607273,FC,10000,0.0951131,0.2037593,0.890608929395848,NaN
1498,38.7040049607273,FC,100000000,0.4583323,0.5422002,0,NaN
1498,38.7040049607273,FC,1000000000000,0.44232,0.5281653,0,NaN
2083,45.6398948289761,PLS,NaN,0.0343378,0.2271535,NaN,NaN
2083,45.6398948289761,Diag,NaN,0.0320553,0.2282938,NaN,NaN
2083,45.6398948289761,FS,10000,0.1200619,0.2557506,0.96938501999014,NaN
2083,45.6398948289761,FS,100000000,0.6867216,0.7652874,0.26763487150743,NaN
2083,45.6398948289761,FS,1000000000000,0.9070197,0.975502,0,NaN
2083,45.6398948289761,FC,10000,0.1579747,0.2820338,0.924378106930138,NaN
2083,45.6398948289761,FC,100000000,0.9151778,1.0036958,0,NaN
2083,45.6398948289761,FC,1000000000000,0.9029316,0.9675386,0,NaN
3113,55.7942649382533,PLS,NaN,0.1131514,0.3330618,NaN,NaN
3113,55.7942649382533,Diag,NaN,0.1110739,0.3383644,NaN,NaN
3113,55.7942649382533,FS,10000,0.3018995,0.3831312,0.969580432677737,NaN
3113,55.7942649382533,FS,100000000,1.6445601,1.6193983,0.258780288746951,NaN
3113,55.7942649382533,FS,1000000000000,2.1136158,2.0799164,0,NaN
3113,55.7942649382533,FC,10000,0.3503718,0.4280445,0.948784353439856,NaN
3113,55.7942649382533,FC,100000000,2.0717214,2.0019789,0.0460322601849245,NaN
3113,55.7942649382533,FC,1000000000000,2.1008733,2.00468,0,NaN
5364,73.2393336944022,PLS,NaN,0.3809583,0.5804484,NaN,NaN
5364,73.2393336944022,Diag,NaN,0.3759401,0.5729613,NaN,NaN
5364,73.2393336944022,FS,10000,0.9840001,0.7288294,0.969720805591562,NaN
5364,73.2393336944022,FS,100000000,5.375022,4.6438083,0.251191485090484,NaN
5364,73.2393336944022,FS,1000000000000,6.603235,6.2546116,0,NaN
5364,73.2393336944022,FC,10000,0.9632637,0.7292832,0.969720805591562,NaN
5364,73.2393336944022,FC,100000000,5.366254,4.6290376,0.251191485090484,NaN
5364,73.2393336944022,FC,1000000000000,6.5863714,6.2031419,0,NaN
