N,N1overd,Method,Kt,AsmSolve_s,Eval_s,Sparsity,Cond
608,24.6576560118759,PLS,NaN,0.001946,0.069058,NaN,NaN
608,24.6576560118759,Diag,NaN,0.0032943,0.0689604,NaN,NaN
608,24.6576560118759,FS,1000000000000,0.0128335,0.0670943,0.989779908240997,3.2480254025049
870,29.4957624075053,PLS,NaN,0.0044332,0.1009114,NaN,NaN
870,29.4957624075053,Diag,NaN,0.004466,0.0972676,NaN,NaN
870,29.4957624075053,FS,1000000000000,0.0214297,0.1024438,0.990040956533228,9.18726716401705
1498,38.7040049607273,PLS,NaN,0.0158268,0.1682865,NaN,NaN
1498,38.7040049607273,Diag,NaN,0.0135983,0.1687902,NaN,NaN
1498,38.7040049607273,FS,1000000000000,0.048635,0.1619005,0.990270070819838,42.1549701651821
2083,45.6398948289761,PLS,NaN,0.0357892,0.2390545,NaN,NaN
2083,45.6398948289761,Diag,NaN,0.0369301,0.2391039,NaN,NaN
2083,45.6398948289761,FS,1000000000000,0.0852975,0.2303953,0.990200947754137,125.875414774359
3113,55.7942649382533,PLS,NaN,0.1218895,0.3310087,NaN,NaN
3113,55.7942649382533,Diag,NaN,0.1271732,0.3425812,NaN,NaN
3113,55.7942649382533,FS,1000000000000,0.2380701,0.3453053,0.990466288072701,314.342630018806
5364,73.2393336944022,PLS,NaN,0.4123781,0.5645514,NaN,NaN
5364,73.2393336944022,Diag,NaN,0.3927304,0.5662753,NaN,NaN
5364,73.2393336944022,FS,1000000000000,0.7912984,0.6090416,0.990599494739699,1292.897388756
