N,N1overd,Method,Kt,AsmSolve_s,Eval_s,Sparsity,Cond
4,4,PLS,NaN,5.39e-05,0.0032041,NaN,NaN
4,4,Diag,NaN,3.41e-05,0.0031714,NaN,NaN
4,4,FS,10000,0.0001755,0.0026991,0.75,1
4,4,FS,100000000,0.0001975,0.0026482,0.75,1
4,4,FS,1000000000000,0.0002219,0.0025808,0.75,1
4,4,FC,10000,0.0002374,0.0027704,0,12199.5445596602
4,4,FC,100000000,0.0002238,0.0029124,0,120054586.369222
4,4,FC,1000000000000,0.0002655,0.003683,0,1201741013642.7
8,8,PLS,NaN,2.26e-05,0.002373,NaN,NaN
8,8,Diag,NaN,2.67e-05,0.0033979,NaN,NaN
8,8,FS,10000,0.0001853,0.0030713,0.875,1
8,8,FS,100000000,0.0001922,0.0032511,0.875,1
8,8,FS,1000000000000,0.000204,0.0030557,0.875,1
8,8,FC,10000,0.0002134,0.003323,0,15418.7776087677
8,8,FC,100000000,0.0002183,0.0036713,0,138261437.153518
8,8,FC,1000000000000,0.0002215,0.0033803,0,1361706032607.36
16,16,PLS,NaN,2.06e-05,0.0041501,NaN,NaN
16,16,Diag,NaN,3e-05,0.0050179,NaN,NaN
16,16,FS,10000,0.0002369,0.004708,0.9375,1
16,16,FS,100000000,0.0002838,0.0045985,0.9375,1
16,16,FS,1000000000000,0.0002988,0.0043668,0.890625,3.90356262850201
16,16,FC,10000,0.0003324,0.0055968,0.484375,14947.2305803811
16,16,FC,100000000,0.0005021,0.0051506,0,157045874.721561
16,16,FC,1000000000000,0.0003168,0.0053178,0,1405205491793.87
32,32,PLS,NaN,5.14e-05,0.0079092,NaN,NaN
32,32,Diag,NaN,5.87e-05,0.0095214,NaN,NaN
32,32,FS,10000,0.0004816,0.0080414,0.96875,1
32,32,FS,100000000,0.0004047,0.0085189,0.9609375,2.46446286652598
32,32,FS,1000000000000,0.0003707,0.0074969,0.8984375,437.274422914794
32,32,FC,10000,0.0005638,0.0075676,0.818359375,14847.2607712225
32,32,FC,100000000,0.0007349,0.0102747,0.33984375,154653931.598197
32,32,FC,1000000000000,0.0004763,0.0104068,0,1522101138707.12
64,64,PLS,NaN,0.0002093,0.0159071,NaN,NaN
64,64,Diag,NaN,0.0002175,0.0169217,NaN,NaN
64,64,FS,10000,0.0007865,0.0153843,0.9833984375,1.40454973555561
64,64,FS,100000000,0.0008276,0.0144441,0.9736328125,129.932856754532
64,64,FS,1000000000000,0.0008796,0.0166882,0.90087890625,453744.436040266
64,64,FC,10000,0.0010245,0.015863,0.9423828125,14824.6573208129
64,64,FC,100000000,0.0010511,0.0161356,0.76025390625,155078451.913627
64,64,FC,1000000000000,0.0012774,0.0162895,0.197265625,1524829495467.65
128,128,PLS,NaN,0.0005509,0.0361322,NaN,NaN
128,128,Diag,NaN,0.0006282,0.0323958,NaN,NaN
128,128,FS,10000,0.0014673,0.0325333,0.990234375,31.7357289100486
128,128,FS,100000000,0.0015851,0.0339449,0.977294921875,99120.1267870408
128,128,FS,1000000000000,0.001718,0.0339825,0.89990234375,781041973.149509
128,128,FC,10000,0.0017614,0.0317996,0.982666015625,14819.2498796285
128,128,FC,100000000,0.001842,0.0324424,0.9224853515625,154915221.091799
128,128,FC,1000000000000,0.0023288,0.0340667,0.7008056640625,1559568720086.91
256,256,PLS,NaN,0.0017248,0.0680669,NaN,NaN
256,256,Diag,NaN,0.0019631,0.0763411,NaN,NaN
256,256,FS,10000,0.0034097,0.0706976,0.9937744140625,14265.4727364386
256,256,FS,100000000,0.0039341,0.0677342,0.975738525390625,150682140.37868
256,256,FS,1000000000000,0.0044184,0.0654068,0.89996337890625,1546431945440.11
256,256,FC,10000,0.0031419,0.0676135,0.99371337890625,14817.926762101
256,256,FC,100000000,0.0036251,0.0662892,0.975677490234375,154872842.915034
256,256,FC,1000000000000,0.0049259,0.0748579,0.89984130859375,1557256917071.63
