N,N1overd,Method,Kt,AsmSolve_s,Eval_s,Sparsity,Cond
608,24.6576560118759,PLS,NaN,0.0015944,0.0657038,NaN,NaN
608,24.6576560118759,Diag,NaN,0.0026524,0.0717868,NaN,NaN
608,24.6576560118759,FS,1000000000000,0.0172444,0.0773105,0.989779908240997,3.25886651547363
870,29.4957624075053,PLS,NaN,0.0046855,0.0907699,NaN,NaN
870,29.4957624075053,Diag,NaN,0.0051488,0.1098819,NaN,NaN
870,29.4957624075053,FS,1000000000000,0.0200428,0.0994796,0.990040956533228,9.18726716401705
1498,38.7040049607273,PLS,NaN,0.0129732,0.1546161,NaN,NaN
1498,38.7040049607273,Diag,NaN,0.0142255,0.18179,NaN,NaN
1498,38.7040049607273,FS,1000000000000,0.0434699,0.1629603,0.990270070819838,44.7556105440091
2083,45.6398948289761,PLS,NaN,0.0302541,0.2281315,NaN,NaN
2083,45.6398948289761,Diag,NaN,0.0338041,0.2492503,NaN,NaN
2083,45.6398948289761,FS,1000000000000,0.0794974,0.2331214,0.990200947754137,123.689026479678
3113,55.7942649382533,PLS,NaN,0.1080312,0.3439405,NaN,NaN
3113,55.7942649382533,Diag,NaN,0.1205922,0.3744027,NaN,NaN
3113,55.7942649382533,FS,1000000000000,0.2247231,0.3539051,0.990466288072701,324.680565836706
5364,73.2393336944022,PLS,NaN,0.3960053,0.6440292,NaN,NaN
5364,73.2393336944022,Diag,NaN,0.4241337,0.642694,NaN,NaN
5364,73.2393336944022,FS,1000000000000,0.7548883,0.6311742,0.990599494739699,1337.68857206278
