N,N1overd,Method,Kt,AsmSolve_s,Eval_s,Sparsity,Cond
4,4,PLS,NaN,4.55e-05,0.0032372,NaN,NaN
4,4,Diag,NaN,3.39e-05,0.0049429,NaN,NaN
4,4,FS,10000,0.000142,0.0024459,0.75,1
4,4,FS,100000000,0.000153,0.0029032,0.75,1
4,4,FS,1000000000000,0.0002134,0.0026024,0.75,1
4,4,FC,10000,0.0002381,0.0026048,0,12199.5445596602
4,4,FC,100000000,0.0002001,0.0033518,0,120054586.369222
4,4,FC,1000000000000,0.0002308,0.0032205,0,1201741013642.7
8,8,PLS,NaN,3.27e-05,0.0024791,NaN,NaN
8,8,Diag,NaN,2.66e-05,0.0034377,NaN,NaN
8,8,FS,10000,0.0001531,0.0031373,0.875,1
8,8,FS,100000000,0.0002088,0.0032254,0.875,1
8,8,FS,1000000000000,0.0001545,0.0032863,0.875,1
8,8,FC,10000,0.000224,0.0033411,0,15418.7776087677
8,8,FC,100000000,0.0002349,0.0034102,0,138261437.153518
8,8,FC,1000000000000,0.000197,0.0036824,0,1361706032607.36
16,16,PLS,NaN,1.98e-05,0.0042558,NaN,NaN
16,16,Diag,NaN,2.69e-05,0.0052491,NaN,NaN
16,16,FS,10000,0.0002338,0.0046425,0.9375,1
16,16,FS,100000000,0.0002427,0.0051417,0.9375,1
16,16,FS,1000000000000,0.0002574,0.0050253,0.890625,1.59529296020144
16,16,FC,10000,0.0003672,0.0054367,0.484375,14947.2305803811
16,16,FC,100000000,0.0003716,0.0050432,0,157045874.721561
16,16,FC,1000000000000,0.0003296,0.0056745,0,1405205491793.87
32,32,PLS,NaN,4.38e-05,0.0073661,NaN,NaN
32,32,Diag,NaN,5.32e-05,0.0099979,NaN,NaN
32,32,FS,10000,0.0003851,0.0085777,0.96875,1
32,32,FS,100000000,0.0006631,0.008325,0.9609375,2.46446286652598
32,32,FS,1000000000000,0.0003543,0.0091718,0.8984375,437.274422914794
32,32,FC,10000,0.0005661,0.0092341,0.818359375,14847.2607712225
32,32,FC,100000000,0.0007637,0.0101038,0.33984375,154653931.598197
32,32,FC,1000000000000,0.0004773,0.0103186,0,1522101138707.12
64,64,PLS,NaN,0.0001952,0.0162218,NaN,NaN
64,64,Diag,NaN,0.000206,0.0195586,NaN,NaN
64,64,FS,10000,0.0008701,0.0184012,0.9833984375,1.16824344681818
64,64,FS,100000000,0.0007735,0.0169448,0.9736328125,129.932856754532
64,64,FS,1000000000000,0.0009401,0.0164461,0.90087890625,453744.436040266
64,64,FC,10000,0.0009018,0.0182635,0.9423828125,14824.6573208129
64,64,FC,100000000,0.000976,0.0189342,0.76025390625,155078451.913627
64,64,FC,1000000000000,0.0011662,0.0192333,0.197265625,1524829495467.65
128,128,PLS,NaN,0.0007997,0.0362424,NaN,NaN
128,128,Diag,NaN,0.0006698,0.0402177,NaN,NaN
128,128,FS,10000,0.0015998,0.036102,0.990234375,31.7357289100486
128,128,FS,100000000,0.0015216,0.0371813,0.977294921875,99120.1267870408
128,128,FS,1000000000000,0.0018216,0.0363054,0.89990234375,781041973.149509
128,128,FC,10000,0.0014934,0.0388704,0.982666015625,14819.2498796285
128,128,FC,100000000,0.0020102,0.0380133,0.9224853515625,154915221.091799
128,128,FC,1000000000000,0.0025181,0.0371394,0.7008056640625,1559568720086.91
256,256,PLS,NaN,0.0018326,0.0734212,NaN,NaN
256,256,Diag,NaN,0.0017449,0.0721999,NaN,NaN
256,256,FS,10000,0.0037777,0.0723847,0.9937744140625,14265.4727364386
256,256,FS,100000000,0.0035968,0.0747782,0.975738525390625,150682140.37868
256,256,FS,1000000000000,0.004478,0.074419,0.89996337890625,1546431945440.11
256,256,FC,10000,0.0035968,0.0796804,0.99371337890625,14817.926762101
256,256,FC,100000000,0.003679,0.0768898,0.975677490234375,154872842.915034
256,256,FC,1000000000000,0.004447,0.0764252,0.89984130859375,1557256917071.63
