N,N1overd,Method,Kt,AsmSolve_s,Eval_s,Sparsity,Cond
914,9.7046988960187,PLS,NaN,0.00323,0.07188,NaN,NaN
914,9.7046988960187,Diag,NaN,0.0080722,0.1282795,NaN,NaN
914,9.7046988960187,FS,1000000000000,0.0419813,0.0822466,0.993784983409066,1.23203785736787
1996,12.5908054194035,PLS,NaN,0.0155183,0.177576,NaN,NaN
1996,12.5908054194035,Diag,NaN,0.0206746,0.2126715,NaN,NaN
1996,12.5908054194035,FS,1000000000000,0.0854314,0.1749017,0.993417195111666,3.70810495242529
5819,17.9866155644749,PLS,NaN,0.3563206,0.4907916,NaN,NaN
5819,17.9866155644749,Diag,NaN,0.3543797,0.5201773,NaN,NaN
5819,17.9866155644749,FS,1000000000000,0.8415169,0.4996887,0.99318706983579,64.3899198684333
7662,19.7142707114238,PLS,NaN,0.541922,0.6947019,NaN,NaN
7662,19.7142707114238,Diag,NaN,0.4332499,0.6125925,NaN,NaN
7662,19.7142707114238,FS,1000000000000,1.4059703,0.6833093,0.993108535439603,120.209375172939
10488,21.889250578319,PLS,NaN,0.9993993,0.8421614,NaN,NaN
10488,21.889250578319,Diag,NaN,0.9429514,0.8239999,NaN,NaN
10488,21.889250578319,FS,1000000000000,3.1433601,0.9590149,0.993104283650459,268.236250841668
14876,24.5939747730797,PLS,NaN,2.6300073,1.4258064,NaN,NaN
14876,24.5939747730797,Diag,NaN,2.499745,1.223803,NaN,NaN
14876,24.5939747730797,FS,1000000000000,7.8560563,1.9068063,0.993127267150851,524.423040071878
22393,28.1862582478624,PLS,NaN,8.7460716,2.454006,NaN,NaN
22393,28.1862582478624,Diag,NaN,8.372318,2.0196126,NaN,NaN
22393,28.1862582478624,FS,1000000000000,24.4262126,2.9472054,0.993165557345486,1111.48715893284
