N,N1overd,Method,Kt,AsmSolve_s,Eval_s,Sparsity,Cond
4,4,PLS,NaN,5.39e-05,0.0032041,NaN,NaN
4,4,Diag,NaN,3.77e-05,0.0048084,NaN,NaN
4,4,FS,10000,0.0001839,0.0024068,0.75,1
4,4,FS,100000000,0.0001885,0.0028237,0.75,1
4,4,FS,1000000000000,0.000229,0.0025857,0.75,1
4,4,FC,10000,0.0002276,0.0028836,0,12283.493390804
4,4,FC,100000000,0.0002141,0.0030749,0,120137437.338157
4,4,FC,1000000000000,0.0002146,0.0031825,0,1198135685736.2
8,8,PLS,NaN,2.26e-05,0.002373,NaN,NaN
8,8,Diag,NaN,2.43e-05,0.0033954,NaN,NaN
8,8,FS,10000,0.0001791,0.0032588,0.875,1
8,8,FS,100000000,0.0001753,0.0031179,0.875,1
8,8,FS,1000000000000,0.0001765,0.0030184,0.875,1
8,8,FC,10000,0.000281,0.003404,0,15083.7650204583
8,8,FC,100000000,0.0002449,0.0038053,0,136789752.280556
8,8,FC,1000000000000,0.0002043,0.0039487,0,1278965515607.38
16,16,PLS,NaN,2.06e-05,0.0041501,NaN,NaN
16,16,Diag,NaN,2.72e-05,0.0051246,NaN,NaN
16,16,FS,10000,0.0002184,0.0042008,0.9375,1
16,16,FS,100000000,0.0002294,0.0041854,0.9375,1
16,16,FS,1000000000000,0.0002571,0.0043969,0.921875,1.03779478991216
16,16,FC,10000,0.0005558,0.0047545,0.5,15278.576330473
16,16,FC,100000000,0.0004026,0.0045528,0,158343619.614133
16,16,FC,1000000000000,0.0003074,0.0050081,0,1506040280340.01
32,32,PLS,NaN,5.14e-05,0.0079092,NaN,NaN
32,32,Diag,NaN,5.38e-05,0.0092593,NaN,NaN
32,32,FS,10000,0.0004052,0.0081814,0.96875,1
32,32,FS,100000000,0.0004362,0.0083204,0.96484375,1.06646770469499
32,32,FS,1000000000000,0.0004153,0.0078743,0.94921875,11.9873529062194
32,32,FC,10000,0.0005883,0.0084973,0.830078125,15103.2753126195
32,32,FC,100000000,0.0008742,0.0083922,0.51171875,158553241.021017
32,32,FC,1000000000000,0.0005867,0.008682,0,1534919028713.34
64,64,PLS,NaN,0.0002093,0.0159071,NaN,NaN
64,64,Diag,NaN,0.0003243,0.0180522,NaN,NaN
64,64,FS,10000,0.0008102,0.0166279,0.9833984375,1.16560390850935
64,64,FS,100000000,0.0010026,0.0149426,0.978515625,18.2996637301213
64,64,FS,1000000000000,0.0007092,0.0151651,0.9541015625,6731.41699308162
64,64,FC,10000,0.000943,0.0152695,0.947265625,15068.3343079306
64,64,FC,100000000,0.0010459,0.015783,0.83203125,157508619.915736
64,64,FC,1000000000000,0.0010878,0.0156839,0.5576171875,1600085458586.7
128,128,PLS,NaN,0.0005509,0.0361322,NaN,NaN
128,128,Diag,NaN,0.0007939,0.033267,NaN,NaN
128,128,FS,10000,0.0016056,0.0328043,0.99072265625,18.8117808688547
128,128,FS,100000000,0.0017702,0.0333927,0.983642578125,14227.4021649547
128,128,FS,1000000000000,0.0017256,0.0319737,0.9517822265625,65017379.1787155
128,128,FC,10000,0.0018343,0.0344173,0.983642578125,15060.1095608554
128,128,FC,100000000,0.0018404,0.0333356,0.9471435546875,157251694.323298
128,128,FC,1000000000000,0.0019802,0.0322551,0.8468017578125,1596414001227.43
256,256,PLS,NaN,0.0017248,0.0680669,NaN,NaN
256,256,Diag,NaN,0.0016608,0.0664749,NaN,NaN
256,256,FS,10000,0.0033338,0.0694051,0.9940185546875,14301.6139989741
256,256,FS,100000000,0.0040011,0.0673689,0.98419189453125,148153173.804841
256,256,FS,1000000000000,0.0047705,0.068444,0.95062255859375,1539280451674.47
256,256,FC,10000,0.0035334,0.0662715,0.9940185546875,15058.1005306347
256,256,FC,100000000,0.0036713,0.0704769,0.984130859375,157188607.242613
256,256,FC,1000000000000,0.0039877,0.0719118,0.9505615234375,1594992361844.92
